Project_ID,Location,Geographic_Region,Budget_Cr,Tower_Count,Substations_Count,Steel_Demand_Tons,Conductor_Demand_Km,Insulator_Demand_Nos,Transformer_Demand_Units,Tower_Type,Substation_Type,Terrain_Difficulty,Tax_Rate,Start_Year,Completion_Year,Line_Length_CKM,Transformation_Capacity_MVA,Voltage,Circuit,Transformer_Bin
PROJ-3076,North Karanpura,Hilly Forests,5189,5579,1,205307,11154,692912,5,D/C 400 kV,GIS,High,18,2013,2017,1859,3112.0614748242565,400,D/C,2+
PROJ-9164,Koppal,Central Plains,2240,1932,1,66770,3852,239954,3,D/C 400 kV,GIS,Medium,18,2014,2017,642,1635.396725157253,400,D/C,2+
PROJ-5275,AngulExt,Hilly Forests,3102,2663,2,92033,5334,330745,4,D/C 400 kV,GIS,Medium,18,2016,2018,889,2187.8673415726253,400,D/C,2+
PROJ-1011,Koppal,Central Plains,585,725,2,21924,870,37519,2,S/C 220 kV,AIS,Medium,12,2019,2021,290,373.60838908350354,220,S/C,2+
PROJ-2212,North KaranpuraExt,Hilly Forests,1727,1040,2,50232,2478,215280,2,D/C 765 kV,AIS,High,12,2022,2026,413,1868.8066380132195,765,D/C,2+
PROJ-8927,Mainpuri,Northern Plains,2060,1940,1,81480,3492,301185,5,D/C 765 kV,GIS,Low,18,2014,2017,582,7481.311432624384,765,D/C,2+
PROJ-1508,Ramgarh,Desert Plains,4285,4605,2,159149,11052,762588,3,D/C 400 kV,Hybrid,Medium,18,2013,2017,1842,1531.311364426976,400,D/C,2+
PROJ-4468,Nagbhid,Central Plains,2120,1952,1,67461,4686,242438,4,D/C 400 kV,GIS,Medium,12,2018,2021,781,1469.312558774924,400,D/C,2+
PROJ-7991,Fatuha,Northern Plains,756,890,2,24920,1068,46058,1,S/C 220 kV,AIS,Low,18,2012,2015,356,263.6739132962675,220,S/C,1
PROJ-8042,MainpuriRE Park,Northern Plains,879,1246,2,34888,1308,64480,0,S/C 220 kV,AIS,Low,12,2015,2019,436,282.3042586650633,220,S/C,0
PROJ-9848,Yadadri,Central Plains,1264,1600,2,48384,1680,82800,1,S/C 220 kV,Hybrid,Medium,12,2018,2020,560,142.8812965986329,220,S/C,1
PROJ-4373,Angul,Hilly Forests,3059,2857,2,105138,5700,473119,4,D/C 400 kV,AIS,High,12,2021,2024,950,2402.742136437704,400,D/C,2+
PROJ-6426,KudankulamExt,Coastal Plains,984,889,2,30724,1782,121455,2,D/C 400 kV,GIS,Medium,12,2013,2016,297,880.3492100805349,400,D/C,2+
PROJ-8899,Jaipur,Desert Plains,2997,4725,2,142884,5670,244519,1,S/C 220 kV,AIS,Medium,18,2010,2013,1890,234.57433371961596,220,S/C,1
PROJ-6938,Barmer,Desert Plains,1881,2504,2,80629,1878,129582,2,S/C 220 kV,Hybrid,High,18,2020,2023,626,333.21394872215933,220,S/C,2+
PROJ-7951,NelloreRE Park,Coastal Plains,2217,2806,3,84853,2946,119799,3,S/C 220 kV,GIS,Medium,12,2017,2019,982,793.7902830250605,220,S/C,2+
PROJ-1159,Barmer,Desert Plains,1078,1047,2,38530,2082,173383,4,D/C 400 kV,Hybrid,High,18,2016,2019,347,1918.415235270081,400,D/C,2+
PROJ-5757,Barmer,Desert Plains,1315,1126,1,41437,2262,139849,2,D/C 400 kV,GIS,High,18,2018,2022,377,1007.0771811826771,400,D/C,2+
PROJ-3390,BarmerRE Park,Desert Plains,1575,1452,1,43908,1743,56356,3,S/C 220 kV,GIS,Medium,18,2020,2024,581,892.5957554047511,220,S/C,2+
PROJ-6599,Firozabad,Northern Plains,1933,1614,2,67788,3852,334098,4,D/C 765 kV,AIS,Low,12,2014,2018,642,3484.451753720511,765,D/C,2+
PROJ-6321,Aligarh,Northern Plains,1784,2212,3,61936,2655,114471,4,S/C 220 kV,AIS,Low,12,2017,2020,885,1039.775011171889,220,S/C,2+
PROJ-8488,Ramgarh-II,Desert Plains,926,733,1,33249,1752,151731,2,D/C 765 kV,AIS,Medium,18,2010,2014,292,2730.386694795622,765,D/C,2+
PROJ-9260,Jind,Northern Plains,1026,1610,2,45080,1449,62488,2,S/C 220 kV,GIS,Low,18,2012,2014,483,543.9295341565104,220,S/C,2+
PROJ-1914,Fatuha,Northern Plains,1701,1406,2,59052,3390,218281,2,D/C 765 kV,GIS,Low,12,2013,2015,565,1908.6908461353103,765,D/C,2+
PROJ-6144,Dausa,Desert Plains,5061,5382,1,186002,10776,891259,4,D/C 400 kV,Hybrid,Medium,12,2020,2024,1796,2042.0996267438552,400,D/C,2+
PROJ-2955,KudankulamExt,Coastal Plains,2328,2111,1,72956,4218,288405,5,D/C 400 kV,GIS,Medium,12,2010,2013,703,2230.20009944433,400,D/C,2+
PROJ-5745,Paradeep,Coastal Plains,2247,2930,2,94346,2637,166790,2,S/C 220 kV,AIS,High,18,2021,2025,879,513.5949434757422,220,S/C,2+
PROJ-8408,Sikar,Desert Plains,1029,1050,2,36288,2100,173880,2,D/C 400 kV,Hybrid,Medium,12,2022,2024,350,930.0528780592444,400,D/C,2+
PROJ-1071,Ranchi-III,Hilly Forests,900,1425,2,45885,1071,73744,1,S/C 220 kV,AIS,High,12,2014,2016,357,219.7690800158878,220,S/C,1
PROJ-3039,Keonjhar,Hilly Forests,1474,1586,2,51069,1665,82076,2,S/C 220 kV,Hybrid,High,18,2014,2018,555,401.0524970520522,220,S/C,2+
PROJ-4989,Dausa,Desert Plains,4566,5566,1,192361,11118,921730,3,D/C 400 kV,AIS,Medium,12,2018,2021,1853,928.0281616586412,400,D/C,2+
PROJ-3284,Dausa-II,Desert Plains,1522,2133,1,64502,1920,110383,1,S/C 220 kV,Hybrid,Medium,18,2015,2017,640,252.88814561510088,220,S/C,1
PROJ-6014,Kanpur-III,Northern Plains,2699,2509,2,105378,6024,389522,5,D/C 765 kV,GIS,Low,12,2018,2020,1004,4543.8863061456605,765,D/C,2+
PROJ-3302,YadadriExt,Central Plains,844,726,2,25091,1452,90169,4,D/C 400 kV,GIS,Medium,18,2010,2013,242,1347.6824138448435,400,D/C,2+
PROJ-8108,Bakhtiyarpur,Northern Plains,1500,1116,2,46872,2682,231012,3,D/C 765 kV,Hybrid,Low,12,2016,2018,447,3859.567147172541,765,D/C,2+
PROJ-1212,North Karanpura,Hilly Forests,3211,4535,1,146027,5442,234686,4,S/C 220 kV,Hybrid,High,18,2011,2015,1814,1105.3524894748066,220,S/C,2+
PROJ-8880,Kudankulam,Coastal Plains,2351,3729,2,120074,2799,212273,4,S/C 220 kV,AIS,High,12,2019,2023,933,756.960976782035,220,S/C,2+
PROJ-7236,Raigarh-II,Hilly Forests,1340,942,1,45499,2256,146246,4,D/C 765 kV,GIS,High,18,2017,2019,376,2031.8576189818045,765,D/C,2+
PROJ-3389,Varanasi,Northern Plains,875,1085,2,30380,1302,42112,2,S/C 220 kV,GIS,Low,12,2012,2015,434,377.3226038068701,220,S/C,2+
PROJ-5304,Angul,Hilly Forests,1157,1835,1,59087,1377,71221,1,S/C 220 kV,GIS,High,12,2012,2014,459,150.97644978297646,220,S/C,1
PROJ-2725,Jind,Northern Plains,2690,2074,3,87108,4968,321988,5,D/C 765 kV,GIS,Low,18,2010,2013,828,6642.777989530407,765,D/C,2+
PROJ-5405,Fatehgarh,Desert Plains,1257,890,1,42987,2130,184230,4,D/C 765 kV,AIS,High,18,2016,2018,355,3231.1833267229827,765,D/C,2+
PROJ-5922,Aligarh-III,Northern Plains,1257,1274,2,40768,2550,158231,4,D/C 400 kV,GIS,Low,12,2019,2021,425,2457.715822443308,400,D/C,2+
PROJ-2421,BhadlaGIS,Desert Plains,1579,1361,1,47036,2730,225382,2,D/C 400 kV,Hybrid,Medium,12,2022,2026,455,833.9204662034163,400,D/C,2+
PROJ-8132,Sonipat,Northern Plains,2137,2002,1,64064,4014,248648,4,D/C 400 kV,GIS,Low,12,2022,2025,669,1505.954339181942,400,D/C,2+
PROJ-7342,Tuticorin,Coastal Plains,1991,2633,3,84783,2370,112413,2,S/C 220 kV,GIS,High,12,2010,2012,790,357.09229730856646,220,S/C,2+
PROJ-9263,Umred,Central Plains,951,878,2,26551,1053,34077,1,S/C 220 kV,GIS,Medium,18,2020,2022,351,200.62649451030802,220,S/C,1
PROJ-2193,Dhanbad,Hilly Forests,1748,1025,2,49507,2436,159131,2,D/C 765 kV,GIS,High,12,2020,2022,406,2717.6335423363093,765,D/C,2+
PROJ-5385,Ranchi,Hilly Forests,3314,5243,1,168825,5505,271325,2,S/C 220 kV,AIS,High,12,2015,2017,1835,337.9125680290588,220,S/C,2+
PROJ-9323,Kurnool,Coastal Plains,1318,1635,2,49442,1962,93072,3,S/C 220 kV,Hybrid,Medium,12,2016,2020,654,563.5263607498304,220,S/C,2+
PROJ-9768,Keonjhar,Hilly Forests,2451,2637,2,84911,2769,136465,2,S/C 220 kV,AIS,High,18,2018,2021,923,383.6756934930247,220,S/C,2+
PROJ-4494,Varanasi,Northern Plains,927,813,1,34146,1464,126218,3,D/C 765 kV,GIS,Low,12,2017,2019,244,3665.7876825470385,765,D/C,2+
PROJ-1111,Tuticorin,Coastal Plains,2052,1191,1,57525,2862,271191,2,D/C 765 kV,AIS,High,18,2021,2024,477,1978.7528979413405,765,D/C,2+
PROJ-6429,Keonjhar,Hilly Forests,1858,1344,1,64915,3228,208656,4,D/C 765 kV,GIS,High,12,2017,2019,538,2007.9685408762812,765,D/C,2+
PROJ-7149,Aligarh,Northern Plains,2618,4622,1,129416,5547,179391,3,S/C 220 kV,GIS,Low,18,2012,2016,1849,773.6593165171148,220,S/C,2+
PROJ-3368,MainpuriGIS,Northern Plains,2619,2173,2,91266,5220,449811,4,D/C 765 kV,AIS,Low,12,2013,2016,870,2334.217350042759,765,D/C,2+
PROJ-1123,Fatuha,Northern Plains,1581,1387,2,58254,2496,287109,1,D/C 765 kV,AIS,Low,18,2021,2025,416,665.7481769652206,765,D/C,1
PROJ-5328,Gadag-III,Coastal Plains,1149,2022,1,61145,1527,115102,4,S/C 220 kV,AIS,Medium,12,2016,2018,509,497.1963128702123,220,S/C,2+
PROJ-6572,Pakaldul,Hilly Forests,5174,5566,1,204829,11124,921730,4,D/C 400 kV,AIS,High,18,2018,2020,1854,1493.5169222675847,400,D/C,2+
PROJ-8205,Raigarh,Hilly Forests,3480,2877,2,138959,5178,595539,5,D/C 765 kV,Hybrid,High,12,2012,2016,863,4055.012473663401,765,D/C,2+
PROJ-3084,Beawar-III,Desert Plains,1147,1039,1,35908,2082,129044,1,D/C 400 kV,GIS,Medium,18,2012,2015,347,380.4307292330328,400,D/C,1
PROJ-7217,Barmer,Desert Plains,1401,1247,2,45890,2496,206503,2,D/C 400 kV,Hybrid,High,12,2022,2024,416,821.5447298057793,400,D/C,2+
PROJ-7311,Solapur,Central Plains,1724,1710,1,77566,3078,353970,5,D/C 765 kV,AIS,Medium,12,2016,2018,513,5581.502429628619,765,D/C,2+
PROJ-4152,North Karanpura,Hilly Forests,2101,1405,1,51704,3372,174501,4,D/C 400 kV,GIS,High,18,2019,2021,562,2195.101897464741,400,D/C,2+
PROJ-7731,DharamjaygarhExt,Hilly Forests,2169,3266,3,105165,2451,126762,3,S/C 220 kV,GIS,High,18,2017,2019,817,717.8578842216643,220,S/C,2+
PROJ-8829,Gadag,Coastal Plains,929,805,1,27821,1932,146639,3,D/C 400 kV,AIS,Medium,12,2014,2018,322,1069.976968628395,400,D/C,2+
PROJ-2835,BakhtiyarpurGIS,Northern Plains,1128,1249,1,34972,1311,64636,1,S/C 220 kV,AIS,Low,18,2021,2025,437,182.3916190068204,220,S/C,1
PROJ-1653,Turumunga,Hilly Forests,1128,1417,2,45627,1275,73330,2,S/C 220 kV,AIS,High,18,2016,2020,425,452.56756848735057,220,S/C,2+
PROJ-1809,Raigarh,Hilly Forests,2413,1569,2,75783,3774,243587,4,D/C 765 kV,GIS,High,18,2012,2016,629,4786.50908486956,765,D/C,2+
PROJ-5831,Raigarh,Hilly Forests,2618,3939,2,126836,2958,203843,2,S/C 220 kV,AIS,High,18,2011,2014,986,334.8826302263008,220,S/C,2+
PROJ-6835,Mainpuri-II,Northern Plains,1109,791,1,33222,1902,122803,1,D/C 765 kV,GIS,Low,12,2017,2021,317,1192.073647024369,765,D/C,1
PROJ-7379,Dhanbad,Hilly Forests,1210,1915,2,61663,1440,74326,0,S/C 220 kV,GIS,High,12,2013,2015,480,178.3718746376052,220,S/C,0
PROJ-2209,Turumunga,Hilly Forests,2278,1883,1,90949,3390,389781,5,D/C 765 kV,AIS,High,12,2016,2019,565,6364.933606527934,765,D/C,2+
PROJ-7138,Dhanbad-III,Hilly Forests,5798,5886,1,216605,11766,731041,5,D/C 400 kV,GIS,High,12,2017,2020,1961,1529.9046677254541,400,D/C,2+
PROJ-2325,Ananthapuram,Coastal Plains,2028,2566,2,77596,2694,146070,2,S/C 220 kV,Hybrid,Medium,12,2019,2022,898,469.2985757418126,220,S/C,2+
PROJ-6251,Sonipat,Northern Plains,1428,1641,2,52512,3300,271750,3,D/C 400 kV,AIS,Low,18,2015,2017,550,1522.142192048441,400,D/C,2+
PROJ-6519,Gurgaon,Northern Plains,1465,1501,1,48032,3018,248566,5,D/C 400 kV,Hybrid,Low,18,2017,2020,503,2954.579700652249,400,D/C,2+
PROJ-4991,Paradeep-III,Coastal Plains,4069,5526,1,190979,11058,1006616,4,D/C 400 kV,AIS,Medium,12,2012,2014,1843,1907.0667111388038,400,D/C,2+
PROJ-6358,RamgarhRE Park,Desert Plains,1768,1834,2,55460,1926,71182,3,S/C 220 kV,GIS,Medium,18,2022,2025,642,824.5024092942157,220,S/C,2+
PROJ-1097,KurnoolGIS,Coastal Plains,1776,2090,2,63202,2508,118973,2,S/C 220 kV,AIS,Medium,18,2014,2018,836,333.45135833474626,220,S/C,2+
PROJ-3071,KoppalExt,Coastal Plains,1049,989,2,34180,1980,180156,3,D/C 400 kV,Hybrid,Medium,12,2016,2019,330,1346.7811718989624,400,D/C,2+
PROJ-7011,Raigarh,Hilly Forests,1536,1028,2,37830,2466,170237,1,D/C 400 kV,AIS,High,18,2016,2020,411,582.1414264552866,400,D/C,1
PROJ-3720,Nagbhid,Central Plains,4932,5712,1,197407,11400,945907,5,D/C 400 kV,AIS,Medium,18,2016,2018,1900,1522.0566773780026,400,D/C,2+
PROJ-2949,Aligarh,Northern Plains,2170,1705,2,71610,4104,352935,4,D/C 765 kV,AIS,Low,18,2017,2019,684,5214.150637850414,765,D/C,2+
PROJ-5285,Rewa,Central Plains,2690,2693,3,93070,5376,334471,5,D/C 400 kV,GIS,Medium,18,2012,2014,896,1843.1279928274932,400,D/C,2+
PROJ-2287,Varanasi,Northern Plains,1050,937,2,29984,1866,155167,1,D/C 400 kV,Hybrid,Low,18,2022,2025,311,458.1558296717974,400,D/C,1
PROJ-7476,Beawar,Desert Plains,1412,1048,1,47537,2544,162702,2,D/C 765 kV,GIS,Medium,12,2010,2013,424,2486.16307926276,765,D/C,2+
PROJ-4948,AligarhGIS,Northern Plains,1386,1201,2,50442,2874,248607,4,D/C 765 kV,AIS,Low,18,2011,2014,479,4182.340730676591,765,D/C,2+
PROJ-5587,Nagbhid,Central Plains,1536,1808,1,54674,2169,70173,4,S/C 220 kV,GIS,Medium,18,2019,2022,723,700.3751427732003,220,S/C,2+
PROJ-5156,Bikaner,Desert Plains,2449,3907,3,125805,2931,202187,3,S/C 220 kV,Hybrid,High,12,2017,2021,977,438.92906157902934,220,S/C,2+
PROJ-8856,Nellore,Coastal Plains,1084,722,2,32750,1728,164399,5,D/C 765 kV,Hybrid,Medium,12,2014,2018,288,2714.1877755955666,765,D/C,2+
PROJ-7754,Sonipat-III,Northern Plains,1484,1653,2,52896,3318,273737,3,D/C 400 kV,AIS,Low,12,2021,2024,553,1247.0153289433001,400,D/C,2+
PROJ-2698,Jind,Northern Plains,808,1146,2,32088,1203,59305,1,S/C 220 kV,Hybrid,Low,12,2016,2019,401,113.7427355447922,220,S/C,1
PROJ-4457,Barmer-III,Desert Plains,2181,1715,1,77792,4116,266254,3,D/C 765 kV,GIS,Medium,12,2016,2019,686,2608.445802094141,765,D/C,2+
PROJ-9970,Jaipur,Desert Plains,2776,2304,3,104509,5532,357696,2,D/C 765 kV,GIS,Medium,12,2019,2022,922,2417.5313104583083,765,D/C,2+
PROJ-8071,Raigarh,Hilly Forests,1004,848,2,31206,1698,140429,1,D/C 400 kV,AIS,High,12,2012,2015,283,371.8302418615769,400,D/C,1
PROJ-7774,ParadeepGIS,Coastal Plains,1197,2011,1,60813,1509,85857,2,S/C 220 kV,GIS,Medium,18,2011,2013,503,349.29646255169354,220,S/C,2+
PROJ-6573,DharamjaygarhExt,Hilly Forests,7194,4721,1,228024,11340,977247,5,D/C 765 kV,Hybrid,High,18,2011,2013,1890,6364.047866451688,765,D/C,2+
PROJ-7792,Keonjhar,Hilly Forests,2456,1938,1,71318,3876,240700,4,D/C 400 kV,GIS,High,18,2012,2016,646,1966.9399232551445,400,D/C,2+
PROJ-5650,Beawar,Desert Plains,2674,2102,3,95347,5058,435114,5,D/C 765 kV,AIS,Medium,18,2015,2018,843,6409.7998857897965,765,D/C,2+
PROJ-1248,Dharamjaygarh,Hilly Forests,1198,1039,2,38235,2064,172058,3,D/C 400 kV,AIS,High,12,2019,2022,344,1694.9720512382587,400,D/C,2+
PROJ-6072,Umred-II,Central Plains,1532,1520,1,68947,2736,314640,3,D/C 765 kV,AIS,Medium,12,2014,2016,456,1920.9735545805452,765,D/C,2+
PROJ-3194,Dhanbad,Hilly Forests,1598,1015,2,37352,2436,168084,3,D/C 400 kV,AIS,High,18,2022,2024,406,1514.2690472014508,400,D/C,2+
PROJ-3487,Tuticorin,Coastal Plains,4721,4790,1,176272,11496,654410,4,D/C 400 kV,GIS,High,12,2016,2018,1916,2074.4788099629227,400,D/C,2+
PROJ-3550,Yadadri-III,Central Plains,1909,1586,1,71941,3804,328302,4,D/C 765 kV,AIS,Medium,12,2012,2014,634,4999.911193808283,765,D/C,2+
PROJ-3645,Bakhtiyarpur,Northern Plains,3637,3190,3,133980,5742,660330,5,D/C 765 kV,Hybrid,Low,12,2021,2025,957,5527.058787537936,765,D/C,2+
PROJ-6278,Paradeep,Coastal Plains,733,862,1,27756,1035,49069,1,S/C 220 kV,Hybrid,High,18,2017,2019,345,254.86053658891902,220,S/C,1
PROJ-3864,Jind,Northern Plains,1683,1204,2,50568,2898,249228,4,D/C 765 kV,Hybrid,Low,12,2022,2025,483,4166.585672867039,765,D/C,2+
PROJ-3816,Dhanbad-II,Hilly Forests,1828,1654,1,53259,1737,85594,3,S/C 220 kV,Hybrid,High,12,2020,2022,579,584.3527320696617,220,S/C,2+
PROJ-3806,Raichur,Central Plains,4450,4782,1,165266,11478,791899,5,D/C 400 kV,AIS,Medium,18,2017,2019,1913,2137.249788148101,400,D/C,2+
PROJ-3843,VaranasiExt,Northern Plains,1598,1774,1,49672,1863,91804,2,S/C 220 kV,Hybrid,Low,12,2020,2023,621,296.6002511971334,220,S/C,2+
PROJ-4389,Firozabad,Northern Plains,2595,2718,3,86976,5442,450101,4,D/C 400 kV,Hybrid,Low,18,2015,2017,907,2346.6043245669216,400,D/C,2+
PROJ-9127,GopalpurExt,Coastal Plains,1487,1539,1,53188,3084,210258,4,D/C 400 kV,GIS,Medium,12,2015,2018,514,1448.0549026762264,400,D/C,2+
PROJ-2211,Sonipat,Northern Plains,4252,5779,2,184928,11556,717752,3,D/C 400 kV,GIS,Low,12,2011,2013,1926,1032.3140755964127,400,D/C,2+
PROJ-8341,Sonipat,Northern Plains,2523,1720,1,72240,4122,267030,4,D/C 765 kV,GIS,Low,18,2022,2026,687,4638.04307456308,765,D/C,2+
PROJ-7049,Koppal,Central Plains,2225,2599,2,89821,5202,430394,5,D/C 400 kV,AIS,Medium,18,2015,2017,867,2406.41536408955,400,D/C,2+
PROJ-8354,Yadadri,Central Plains,732,908,2,27458,1089,46989,1,S/C 220 kV,AIS,Medium,12,2017,2019,363,227.35234340886544,220,S/C,1
PROJ-3714,Sikar,Desert Plains,1366,1057,2,47946,2538,218799,4,D/C 765 kV,Hybrid,Medium,12,2018,2020,423,2900.1675046834885,765,D/C,2+
PROJ-8864,Kanpur,Northern Plains,1777,1763,1,74046,3174,364941,5,D/C 765 kV,AIS,Low,12,2017,2019,529,3454.632925358218,765,D/C,2+
PROJ-6876,MainpuriExt,Northern Plains,5871,4629,1,194418,11106,958203,4,D/C 765 kV,Hybrid,Low,18,2010,2014,1851,4618.836301425196,765,D/C,2+
PROJ-5781,VaranasiGIS,Northern Plains,2690,2282,3,95844,5478,472374,5,D/C 765 kV,Hybrid,Low,18,2013,2015,913,5809.844723969343,765,D/C,2+
PROJ-6432,Beawar,Desert Plains,842,1414,1,42759,1062,54881,2,S/C 220 kV,GIS,Medium,18,2018,2021,354,511.21009725786126,220,S/C,2+
PROJ-4603,Aligarh,Northern Plains,1047,1065,2,29820,1278,41335,1,S/C 220 kV,GIS,Low,18,2022,2024,426,137.5444811384504,220,S/C,1
PROJ-2171,Aligarh,Northern Plains,1851,1623,1,68166,2922,335961,1,D/C 765 kV,Hybrid,Low,12,2021,2025,487,1198.9488284873855,765,D/C,1
PROJ-5636,Aligarh,Northern Plains,3973,5733,1,183456,11478,949385,4,D/C 400 kV,Hybrid,Low,18,2016,2018,1913,1486.7447701179742,400,D/C,2+
PROJ-4535,FirozabadRE Park,Northern Plains,1187,1053,1,44226,2514,217971,3,D/C 765 kV,AIS,Low,18,2010,2012,419,2292.0130498783974,765,D/C,2+
PROJ-9247,Solapur,Central Plains,1828,1813,2,82238,3264,281468,5,D/C 765 kV,GIS,Medium,12,2014,2018,544,3716.9834160926525,765,D/C,2+
PROJ-5059,Mainpuri-III,Northern Plains,6351,5980,1,251160,10764,1237860,5,D/C 765 kV,AIS,Low,18,2015,2018,1794,6790.601971255518,765,D/C,2+
PROJ-9717,Sonipat-III,Northern Plains,2574,2647,2,84704,5286,438343,4,D/C 400 kV,Hybrid,Low,18,2012,2016,881,2385.253326784119,400,D/C,2+
PROJ-1625,Pakaldul-II,Hilly Forests,2564,1316,1,63563,3168,272412,5,D/C 765 kV,AIS,High,18,2020,2024,528,6181.1444126427505,765,D/C,2+
PROJ-3001,Dhanbad,Hilly Forests,3862,6060,2,195132,5454,313605,2,S/C 220 kV,AIS,High,18,2018,2022,1818,530.1662656495791,220,S/C,2+
PROJ-7538,Dhanbad,Hilly Forests,2329,1644,1,60499,3300,272246,5,D/C 400 kV,Hybrid,High,12,2022,2025,550,2840.9774728235525,400,D/C,2+
PROJ-4523,Choutuppal,Central Plains,1874,2371,3,71699,2490,122699,3,S/C 220 kV,AIS,Medium,12,2011,2015,830,356.9507620930018,220,S/C,2+
PROJ-4426,KeonjharGIS,Hilly Forests,1972,1125,1,54337,2694,232875,5,D/C 765 kV,AIS,High,12,2021,2023,449,4133.196247129555,765,D/C,2+
PROJ-4624,NelloreExt,Coastal Plains,4273,5510,1,190426,11022,1003702,5,D/C 400 kV,AIS,Medium,18,2018,2022,1837,2612.5270893107236,400,D/C,2+
PROJ-9308,Bikaner,Desert Plains,1773,1800,2,57960,1890,93150,1,S/C 220 kV,AIS,High,18,2021,2025,630,148.29929705137357,220,S/C,1
PROJ-3103,Gopalpur-III,Coastal Plains,2628,2315,2,80006,5556,421700,2,D/C 400 kV,Hybrid,Medium,12,2021,2025,926,809.9489349562916,400,D/C,2+
PROJ-3697,Angul,Hilly Forests,1096,1075,2,34615,1290,55631,2,S/C 220 kV,AIS,High,18,2015,2019,430,556.6843460810983,220,S/C,2+
PROJ-2401,Gurgaon,Northern Plains,1449,1464,2,46848,2928,242438,4,D/C 400 kV,AIS,Low,18,2020,2022,488,1735.935578252066,400,D/C,2+
PROJ-5960,Koppal,Central Plains,1705,1261,1,57199,3018,195770,3,D/C 765 kV,GIS,Medium,12,2011,2014,503,3463.026016478159,765,D/C,2+
PROJ-6778,Sikar,Desert Plains,3811,5380,2,162691,5649,278415,2,S/C 220 kV,AIS,Medium,18,2020,2023,1883,206.85991276607925,220,S/C,2+
PROJ-9458,Dhanbad,Hilly Forests,2402,1957,2,72018,3900,324079,5,D/C 400 kV,Hybrid,High,12,2011,2013,650,2757.7993304265838,400,D/C,2+
PROJ-8876,KanpurGIS,Northern Plains,1971,2320,2,64960,2784,90045,1,S/C 220 kV,GIS,Low,18,2013,2015,928,202.32714357901543,220,S/C,1
PROJ-1112,Tuticorin,Coastal Plains,1139,729,1,35211,1740,124495,1,D/C 765 kV,GIS,High,12,2019,2021,290,1438.413743858144,765,D/C,1
PROJ-8921,Nagbhid,Central Plains,1678,1312,2,59512,3174,203688,4,D/C 765 kV,GIS,Medium,18,2019,2023,529,4347.746026235628,765,D/C,2+
PROJ-7916,Dausa,Desert Plains,1016,1286,1,38889,1350,66550,1,S/C 220 kV,Hybrid,Medium,12,2010,2013,450,298.13583141315314,220,S/C,1
PROJ-5469,Pakaldul,Hilly Forests,2399,1791,1,86505,4284,370737,5,D/C 765 kV,AIS,High,12,2017,2020,714,5880.626987941451,765,D/C,2+
PROJ-4243,Fatuha,Northern Plains,2289,2439,2,78048,4878,403898,2,D/C 400 kV,AIS,Low,18,2012,2014,813,751.0578052391094,400,D/C,2+
PROJ-5528,Barmer,Desert Plains,1541,1442,1,53066,2892,179096,3,D/C 400 kV,GIS,High,18,2011,2014,482,1818.9002771328119,400,D/C,2+
PROJ-4173,KeonjharRE Park,Hilly Forests,1752,1355,1,49864,2700,168291,4,D/C 400 kV,GIS,High,18,2013,2016,450,1651.3149670992473,400,D/C,2+
PROJ-3558,Pakaldul,Hilly Forests,4175,5157,2,166055,5415,200156,2,S/C 220 kV,GIS,High,18,2021,2023,1805,387.71409093031616,220,S/C,2+
PROJ-6785,Beawar-II,Desert Plains,1531,1937,2,58575,2034,75180,3,S/C 220 kV,GIS,Medium,12,2014,2016,678,689.7053578244684,220,S/C,2+
PROJ-2756,Gopalpur,Coastal Plains,2690,2691,3,93001,5400,367644,5,D/C 400 kV,GIS,Medium,12,2021,2024,900,3050.887456750207,400,D/C,2+
PROJ-6658,Barmer-II,Desert Plains,1003,1771,2,53555,1332,68737,1,S/C 220 kV,GIS,Medium,12,2015,2018,444,289.84013863617827,220,S/C,1
PROJ-7736,Barmer,Desert Plains,1002,1242,2,39992,1491,64273,2,S/C 220 kV,AIS,High,12,2018,2022,497,344.97252904633166,220,S/C,2+
PROJ-6409,Bakhtiyarpur,Northern Plains,2298,2280,2,95760,4104,353970,5,D/C 765 kV,GIS,Low,12,2017,2021,684,7208.459933290153,765,D/C,2+
PROJ-2010,Nagbhid,Central Plains,2798,2211,2,100291,5292,343258,3,D/C 765 kV,GIS,Medium,18,2012,2016,882,1663.1722455669337,765,D/C,2+
PROJ-6479,Angul-III,Hilly Forests,1360,1217,1,44786,2436,151151,3,D/C 400 kV,GIS,High,18,2019,2021,406,1864.5051776033083,400,D/C,2+
PROJ-3660,Beawar-III,Desert Plains,1030,1303,2,39403,1368,50573,0,S/C 220 kV,GIS,Medium,12,2015,2019,456,210.93754195601724,220,S/C,0
PROJ-9705,Koppal,Central Plains,1004,1245,2,37649,1494,64429,1,S/C 220 kV,AIS,Medium,12,2017,2021,498,262.0517173399063,220,S/C,1
PROJ-3412,Neemrana,Desert Plains,1575,2647,2,80045,1986,136982,3,S/C 220 kV,Hybrid,Medium,18,2011,2015,662,723.083487342338,220,S/C,2+
PROJ-7441,Koppal,Central Plains,2712,2139,3,97025,5130,332080,4,D/C 765 kV,GIS,Medium,18,2015,2019,855,3811.644281070443,765,D/C,2+
PROJ-4924,GadagExt,Central Plains,939,785,1,35608,1872,162495,5,D/C 765 kV,AIS,Medium,12,2017,2021,312,2803.0245385745493,765,D/C,2+
